timestamp,mac_address,crop_number,date,time,soil_moisture,soil_nitrogen,soil_phosphorus,soil_potassium,soil_temperature,soil_conductivity,soil_ph,air_temperature,air_humidity
1755631610.3498628,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.9,60.4
1755631651.734517,F4:65:0B:54:74:58,2,,,34.5,19,26,64,28.9,34.5,7.6,30.8,60.3
1755631693.1176198,F4:65:0B:54:74:58,2,,,34.5,19,26,64,28.9,34.5,7.6,30.9,60.4
1755631734.5017843,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.4
1755631775.8861115,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.4
1755631817.2726212,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.4
1755631858.654587,F4:65:0B:54:74:58,2,,,34.5,19,26,64,29.0,34.5,7.6,30.8,60.3
1755631900.0408554,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.1,34.4,7.6,30.9,60.2
1755631941.4241383,F4:65:0B:54:74:58,2,,,34.6,19,26,64,29.0,34.6,7.6,30.9,60.3
1755631982.8079638,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.4
1755632024.19303,F4:65:0B:54:74:58,2,,,34.5,19,26,64,28.9,34.5,7.6,30.8,60.4
1755632065.5766363,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.4
1755632106.9604967,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.4
1755632148.3460846,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.4
1755632189.7298594,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.4
1755632231.1136696,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.9,60.4
1755632272.4977849,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.5
1755632313.8835633,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.9,60.4
1755632355.2675705,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.9,60.5
1755632396.6520746,F4:65:0B:54:74:58,2,,,34.5,19,26,64,29.0,34.5,7.6,30.9,60.4
1755632438.0374165,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.9,60.4
1755632479.4213037,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.5
1755632520.804996,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.9,60.5
1755632562.189956,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.9,60.5
1755632603.5727308,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.5
1755632644.9567974,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.5
1755632686.3403733,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.9,60.4
1755632727.727239,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.4
1755632769.1102393,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.9,60.5
1755632810.4941473,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,60.5
1755632851.8782587,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.5
1755632893.2616155,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.9,60.5
1755632934.6458952,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.9,60.6
1755632976.0302298,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.6
1755633017.415364,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.9,60.6
1755633058.7999098,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.9,60.6
1755633100.184263,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.6
1755633141.5683968,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.6
1755633182.9512517,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,60.6
1755633224.3377318,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.6
1755633265.7214165,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.7
1755633307.1069708,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.7
1755633348.490672,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.5
1755633389.8743565,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.6
1755633431.2581875,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.6
1755633472.641453,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,60.6
1755633514.026968,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.6
1755633555.4111664,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.9,60.6
1755633596.796656,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.9,60.7
1755633638.1804962,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.7
1755633679.5671666,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.9,60.6
1755633720.955413,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.6
1755633762.3374956,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.9,60.5
1755633803.7241323,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.9,60.7
1755633845.1042497,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.9,60.8
1755633886.488908,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.9,60.7
1755633927.8734841,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.7
1755633969.2589917,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,60.6
1755634010.6450205,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.6
1755634052.0286732,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,60.6
1755634093.413828,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,60.7
1755634134.7986484,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.1,34.4,7.6,30.8,60.8
1755634176.1852467,F4:65:0B:54:74:58,2,,,34.4,19,26,64,28.9,34.4,7.6,30.8,60.7
1755634217.568577,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,60.7
1755634258.952444,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,60.6
1755634300.337575,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.6
1755634341.7195532,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.9,60.7
1755634383.1057518,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,60.8
1755634424.488998,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.8
1755634465.8744586,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.8
1755634507.260252,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.9,60.8
1755634548.6434176,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.9,60.7
1755634590.029339,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,60.8
1755634631.4130385,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,60.9
1755634672.7983537,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,60.9
1755634714.181778,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.9,60.8
1755634755.5666428,F4:65:0B:54:74:58,2,,,34.4,19,26,64,29.0,34.4,7.6,30.8,60.8
1755634796.9514546,F4:65:0B:54:74:58,2,,,34.1,19,26,64,28.9,34.1,7.6,30.9,60.8
1755634838.336666,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,60.9
1755634879.719395,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,60.9
1755634921.1041079,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.9
1755634962.4880962,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.8
1755635003.873791,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,60.8
1755635045.2579925,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.9,60.8
1755635086.6428027,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.9
1755635128.0265634,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.0,34.3,7.6,30.8,60.9
1755635169.4111993,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,60.9
1755635210.7942905,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,61.0
1755635252.1787786,F4:65:0B:54:74:58,2,,,34.1,19,26,64,28.9,34.1,7.6,30.8,60.9
1755635293.5639522,F4:65:0B:54:74:58,2,,,34.1,19,26,64,28.9,34.1,7.6,30.8,60.8
1755635334.947711,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.0,34.1,7.6,30.8,60.8
1755635376.3327117,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,60.9
1755635417.716715,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,60.9
1755635459.1002448,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,60.9
1755635500.485253,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,61.0
1755635541.8688774,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,61.0
1755635583.253901,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.9,60.9
1755635624.6376975,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,60.9
1755635666.0219548,F4:65:0B:54:74:58,2,,,34.3,19,26,64,29.1,34.3,7.6,30.8,60.9
1755635707.4069753,F4:65:0B:54:74:58,2,,,34.3,19,26,64,28.9,34.3,7.6,30.8,60.9
1755635748.790928,F4:65:0B:54:74:58,2,,,34.1,19,26,64,29.1,34.1,7.6,30.8,60.9
1755635790.1736867,F4:65:0B:54:74:58,2,,,34.1,19,26,64,28.9,34.1,7.6,30.8,61.0
